Cause of death,Age of mother,Mother's education,Birth weight,Age of infant at death,Deaths,Births,Death rate per 1000,Year
Certain infectious and parasitic diseases,15-19,High School Incomplete,500 - 999,672 - 8736,14,1927,7.39,1999
Certain infectious and parasitic diseases,15-19,High School Incomplete,2500 - 2999,672 - 8736,11,55119,0.2,1999
Certain infectious and parasitic diseases,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,99462,0.1,1999
Certain infectious and parasitic diseases,20-24,High School Incomplete,500 - 999,672 - 8736,15,1179,12.9,1999
Certain infectious and parasitic diseases,20-24,High School Graduate,500 - 999,672 - 8736,17,2490,6.93,1999
Certain infectious and parasitic diseases,25-29,High School Graduate,500 - 999,672 - 8736,13,1908,6.98,1999
Septicemia,15-19,High School Incomplete,500 - 999,672 - 8736,12,1927,6.3,1999
Septicemia,20-24,High School Graduate,500 - 999,672 - 8736,12,2490,4.9,1999
Septicemia,25-29,High School Graduate,500 - 999,672 - 8736,10,1908,5.35,1999
Diseases of the nervous system,25-29,Some College Education,3000 - 3499,672 - 8736,10,104434,0.1,1999
Diseases of the circulatory system,20-24,High School Graduate,500 - 999,672 - 8736,10,2490,4.09,1999
Diseases of the circulatory system,20-24,Some College Education,3000 - 3499,672 - 8736,10,87120,0.12,1999
Diseases of the respiratory system,15-19,High School Incomplete,2000 - 2499,672 - 8736,11,15710,0.72,1999
Diseases of the respiratory system,15-19,High School Incomplete,3000 - 3499,672 - 8736,20,99462,0.2,1999
Diseases of the respiratory system,20-24,High School Incomplete,2500 - 2999,672 - 8736,13,41340,0.32,1999
Diseases of the respiratory system,20-24,High School Incomplete,3000 - 3499,672 - 8736,10,78630,0.13,1999
Diseases of the respiratory system,20-24,High School Graduate,500 - 999,672 - 8736,19,2490,7.76,1999
Diseases of the respiratory system,20-24,High School Graduate,2000 - 2499,672 - 8736,13,20741,0.64,1999
Diseases of the respiratory system,20-24,High School Graduate,2500 - 2999,672 - 8736,15,78339,0.19,1999
Diseases of the respiratory system,25-29,High School Graduate,500 - 999,672 - 8736,12,1908,6.38,1999
Diseases of the respiratory system,25-29,High School Graduate,2500 - 2999,672 - 8736,10,52802,0.19,1999
Diseases of the respiratory system,25-29,College Graduate or Higher,500 - 999,672 - 8736,11,1192,9.38,1999
Influenza and pneumonia,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,99462,0.1,1999
Influenza and pneumonia,20-24,High School Graduate,2000 - 2499,672 - 8736,10,20741,0.49,1999
Pneumonia,15-19,High School Incomplete,3000 - 3499,672 - 8736,10,99462,0.1,1999
Pneumonia,20-24,High School Graduate,2000 - 2499,672 - 8736,10,20741,0.49,1999
Other and unspecified diseases of respiratory system,20-24,High School Graduate,500 - 999,672 - 8736,12,2490,4.92,1999
Diseases of the digestive system,15-19,High School Incomplete,500 - 999,672 - 8736,21,1927,11.08,1999
Diseases of the digestive system,20-24,High School Incomplete,500 - 999,672 - 8736,13,1179,11.21,1999
Diseases of the digestive system,20-24,High School Graduate,500 - 999,672 - 8736,16,2490,6.55,1999
Diseases of the digestive system,25-29,High School Graduate,500 - 999,672 - 8736,25,1908,12.88,1999
Diseases of the digestive system,25-29,College Graduate or Higher,500 - 999,672 - 8736,10,1192,8.52,1999
Diseases of the digestive system,30-34,High School Graduate,500 - 999,672 - 8736,15,1425,10.61,1999
Diseases of the digestive system,30-34,College Graduate or Higher,500 - 999,672 - 8736,13,1512,8.77,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",15-19,High School Incomplete,500 - 999,672 - 8736,16,1927,8.45,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",20-24,High School Incomplete,500 - 999,672 - 8736,10,1179,8.63,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",20-24,High School Graduate,500 - 999,672 - 8736,13,2490,5.32,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",25-29,High School Graduate,500 - 999,672 - 8736,18,1908,9.68,1999
"Gastritis, duodenitis, and noninfective enteritis and colitis",30-34,High School Graduate,500 - 999,672 - 8736,12,1425,8.49,1999
Diseases of the genitourinary system,20-24,High School Graduate,500 - 999,672 - 8736,11,2490,4.47,1999
Renal failure and other disorders of kidney,20-24,High School Graduate,500 - 999,672 - 8736,11,2490,4.47,1999
Certain conditions originating in the perinatal period,9-15,Elementary School or Less,500 - 999,24 - 144,11,105,107.33,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,200 - 499,0 - 1,19,65,297.99,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,200 - 499,1 - 23,23,65,349.44,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,0 - 1,15,249,61.54,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,1 - 23,26,249,105.94,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,24 - 144,10,249,41.84,1999
Certain conditions originating in the perinatal period,15-19,Elementary School or Less,500 - 999,189 - 648,11,249,44.36,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,24 - 144,11,467,24.09,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,200 - 499,189 - 648,10,467,21.48,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,0 - 1,94,1927,48.97,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,500 - 999,672 - 8736,40,1927,20.6,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,0 - 1,11,2364,4.73,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,1 - 23,11,2364,4.84,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,24 - 144,16,2364,6.56,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1000 - 1499,189 - 648,29,2364,12.4,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1500 - 1999,24 - 144,11,4727,2.39,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,1500 - 1999,189 - 648,11,4727,2.35,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,2000 - 2499,24 - 144,13,15710,0.84,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,2500 - 2999,24 - 144,10,55119,0.19,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,3000 - 3499,24 - 144,10,99462,0.1,1999
Certain conditions originating in the perinatal period,15-19,High School Incomplete,3000 - 3499,189 - 648,12,99462,0.12,1999
Certain conditions originating in the perinatal period,15-19,High School Graduate,200 - 499,0 - 1,71,267,264.14,1999
